StimulusType,Condition,PrimeDuration,q,mean_qRT,mean_qAcc
Nonword,Identical,16 ms,0.1,581.1781772151899,0.8556962025316456
Nonword,Identical,16 ms,0.3,637.0238924050633,1
Nonword,Identical,16 ms,0.5,684.6560126582278,1
Nonword,Identical,16 ms,0.7,751.0950632911392,1
Nonword,Identical,16 ms,0.9,891.3293860759494,1
Nonword,Identical,33 ms,0.1,572.916829113924,0.8531645569620253
Nonword,Identical,33 ms,0.3,628.1593797468355,0.9962025316455696
Nonword,Identical,33 ms,0.5,678.4572151898734,1
Nonword,Identical,33 ms,0.7,747.6171392405063,1
Nonword,Identical,33 ms,0.9,910.2740253164558,1
Nonword,Unrelated,16 ms,0.1,580.3414810126583,0.9025316455696203
Nonword,Unrelated,16 ms,0.3,637.9687088607595,1
Nonword,Unrelated,16 ms,0.5,687.3415189873417,1
Nonword,Unrelated,16 ms,0.7,754.1436518987341,1
Nonword,Unrelated,16 ms,0.9,894.6567341772152,1
Nonword,Unrelated,33 ms,0.1,572.2423607594936,0.8924050632911392
Nonword,Unrelated,33 ms,0.3,627.557917721519,1
Nonword,Unrelated,33 ms,0.5,681.282911392405,1
Nonword,Unrelated,33 ms,0.7,752.7301962025316,1
Nonword,Unrelated,33 ms,0.9,898.1434050632912,1
Word,Identical,16 ms,0.1,537.4245569620253,0.8772151898734177
Word,Identical,16 ms,0.3,586.883253164557,1
Word,Identical,16 ms,0.5,628.8625949367089,1
Word,Identical,16 ms,0.7,684.7528734177215,1
Word,Identical,16 ms,0.9,808.4650443037975,1
Word,Identical,33 ms,0.1,527.9394746835443,0.9405063291139241
Word,Identical,33 ms,0.3,579.0845443037974,1
Word,Identical,33 ms,0.5,622.8772468354431,1
Word,Identical,33 ms,0.7,678.2803987341772,1
Word,Identical,33 ms,0.9,794.551259493671,1
Word,Unrelated,16 ms,0.1,536.8679050632911,0.8886075949367088
Word,Unrelated,16 ms,0.3,585.7649746835443,1
Word,Unrelated,16 ms,0.5,632.3017405063291,1
Word,Unrelated,16 ms,0.7,686.2546518987341,1
Word,Unrelated,16 ms,0.9,807.6533987341772,1
Word,Unrelated,33 ms,0.1,543.9205,0.8417721518987342
Word,Unrelated,33 ms,0.3,593.9076202531645,1
Word,Unrelated,33 ms,0.5,637.2848734177215,1
Word,Unrelated,33 ms,0.7,695.0448417721519,1
Word,Unrelated,33 ms,0.9,816.954417721519,1
