"Parameter","mean","SE","lower bound","upper bound","$\hat{R}$"
"Intercept",3.7358796653125,0.134946928180088,3.4751195,4.00691475,1.00017650881477
"Relatedness",-0.217869459865938,0.108877332079838,-0.4344018,-0.00443206600000001,1.00021022813833
"Prime Duration",-0.0538860612384822,0.126063213177329,-0.312775425,0.183260075,0.999978373145403
"Relatedness:Prime Duration",-0.708216939082812,0.218780244454974,-1.16450025,-0.301892375,1.00012547496606
