StimulusType,Condition,PrimeDuration,corr,q,N,mean_qRT,mean_min,mean_max
Nonword,Identical,33 ms,0,0.1,141,583.4151560283688,550.9372340425532,939.4857446808511
Nonword,Identical,33 ms,0,0.3,141,642.0626808510639,550.9372340425532,939.4857446808511
Nonword,Identical,33 ms,0,0.5,141,701.9081560283688,550.9372340425532,939.4857446808511
Nonword,Identical,33 ms,0,0.7,141,773.7769078014185,550.9372340425532,939.4857446808511
Nonword,Identical,33 ms,0,0.9,141,862.6487872340425,550.9372340425532,939.4857446808511
Nonword,Identical,33 ms,1,0.1,153,551.3530980392156,486.70084967320264,1247.8945751633987
Nonword,Identical,33 ms,1,0.3,153,611.806522875817,486.70084967320264,1247.8945751633987
Nonword,Identical,33 ms,1,0.5,153,660.3092483660131,486.70084967320264,1247.8945751633987
Nonword,Identical,33 ms,1,0.7,153,729.257431372549,486.70084967320264,1247.8945751633987
Nonword,Identical,33 ms,1,0.9,153,886.9792156862746,486.70084967320264,1247.8945751633987
Nonword,Identical,50 ms,0,0.1,143,583.5945244755245,560.1450349650349,901.0984615384615
Nonword,Identical,50 ms,0,0.3,143,624.9808461538462,560.1450349650349,901.0984615384615
Nonword,Identical,50 ms,0,0.5,143,670.6352097902098,560.1450349650349,901.0984615384615
Nonword,Identical,50 ms,0,0.7,143,736.4251608391609,560.1450349650349,901.0984615384615
Nonword,Identical,50 ms,0,0.9,143,836.4552447552447,560.1450349650349,901.0984615384615
Nonword,Identical,50 ms,1,0.1,153,551.3398104575164,475.532614379085,1280.0118300653594
Nonword,Identical,50 ms,1,0.3,153,606.9517647058824,475.532614379085,1280.0118300653594
Nonword,Identical,50 ms,1,0.5,153,658.1005882352941,475.532614379085,1280.0118300653594
Nonword,Identical,50 ms,1,0.7,153,730.1897647058823,475.532614379085,1280.0118300653594
Nonword,Identical,50 ms,1,0.9,153,891.9893725490197,475.532614379085,1280.0118300653594
Nonword,Unrelated,33 ms,0,0.1,133,614.1574511278195,590.5055639097744,929.9675187969925
Nonword,Unrelated,33 ms,0,0.3,133,657.3665563909774,590.5055639097744,929.9675187969925
Nonword,Unrelated,33 ms,0,0.5,133,705.198007518797,590.5055639097744,929.9675187969925
Nonword,Unrelated,33 ms,0,0.7,133,778.1367293233083,590.5055639097744,929.9675187969925
Nonword,Unrelated,33 ms,0,0.9,133,864.3972857142857,590.5055639097744,929.9675187969925
Nonword,Unrelated,33 ms,1,0.1,153,551.0551176470589,483.8359477124183,1242.3419607843136
Nonword,Unrelated,33 ms,1,0.3,153,614.5858235294118,483.8359477124183,1242.3419607843136
Nonword,Unrelated,33 ms,1,0.5,153,666.0280065359477,483.8359477124183,1242.3419607843136
Nonword,Unrelated,33 ms,1,0.7,153,733.7291960784313,483.8359477124183,1242.3419607843136
Nonword,Unrelated,33 ms,1,0.9,153,886.9688431372549,483.8359477124183,1242.3419607843136
Nonword,Unrelated,50 ms,0,0.1,131,577.2172824427481,552.7688549618321,899.4619847328244
Nonword,Unrelated,50 ms,0,0.3,131,627.9554503816794,552.7688549618321,899.4619847328244
Nonword,Unrelated,50 ms,0,0.5,131,672.5706488549619,552.7688549618321,899.4619847328244
Nonword,Unrelated,50 ms,0,0.7,131,729.4259083969465,552.7688549618321,899.4619847328244
Nonword,Unrelated,50 ms,0,0.9,131,833.2399007633587,552.7688549618321,899.4619847328244
Nonword,Unrelated,50 ms,1,0.1,153,550.7799346405229,481.6672549019608,1270.533660130719
Nonword,Unrelated,50 ms,1,0.3,153,612.0223333333333,481.6672549019608,1270.533660130719
Nonword,Unrelated,50 ms,1,0.5,153,660.2853267973857,481.6672549019608,1270.533660130719
Nonword,Unrelated,50 ms,1,0.7,153,730.9976732026144,481.6672549019608,1270.533660130719
Nonword,Unrelated,50 ms,1,0.9,153,883.831568627451,481.6672549019608,1270.533660130719
