counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt,trials.order
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.400075,-1,,,,,,273,NW,"ID",33,sortel,SORTEL,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,203,203,272,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.400075,-1,,,,,,87,WORD,"ID",50,filter,FILTER,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,204,204,86,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.19031,,,,,,,,0.19031,1,,,,,,77,WORD,"ID",50,racket,RACKET,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,205,205,76,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.032905,,,,,,,,0.032905,1,,,,,,438,NW,UN,50,limpor,BAITCH,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,206,206,437,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.082835,,,,,,,,0.082835,0,,,,,,228,WORD,UN,50,inject,MASTER,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,207,207,227,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.52992,,,,,,,,0.52992,1,,,,,,237,WORD,UN,50,seldom,POSTER,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,208,208,236,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.769835,,,,,,,,1.769835,1,,,,,,131,WORD,UN,33,strong,QUENCH,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,209,209,130,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.94264,,,,,,,,0.94264,0,,,,,,410,NW,UN,33,orchin,TUNORY,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,210,210,409,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.67101,,,,,,,,0.67101,0,,,,,,318,NW,"ID",50,reagly,REAGLY,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,211,211,317,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.28785,,,,,,,,0.28785,0,,,,,,143,WORD,UN,33,sponge,REASON,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,212,212,142,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.20042,,,,,,,,0.20042,0,,,,,,319,NW,"ID",50,zomber,ZOMBER,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,213,213,318,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.27414,,,,,,,,0.27414,0,,,,,,480,NW,UN,50,knisma,ROBULY,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,214,214,479,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.344175,,,,,,,,0.344175,1,,,,,,286,NW,"ID",33,reldon,RELDON,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,215,215,285,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.203155,,,,,,,,0.203155,1,,,,,,406,NW,UN,33,suiver,NOUPLY,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,216,216,405,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.23197,,,,,,,,0.23197,1,,,,,,74,WORD,"ID",50,plaque,PLAQUE,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,217,217,73,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.28391,,,,,,,,0.28391,1,,,,,,216,WORD,UN,50,liquor,BEHALF,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,218,218,215,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.22382,,,,,,,,0.22382,0,,,,,,198,WORD,UN,50,invoke,WICKED,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,219,219,197,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.395785,,,,,,,,0.395785,1,,,,,,363,NW,UN,33,impote,BREALI,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,220,220,362,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.40495,,,,,,,,0.40495,0,,,,,,269,NW,"ID",33,orchet,ORCHET,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,221,221,268,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,365,NW,UN,33,toshel,GUAIRT,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,222,222,364,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,117,WORD,"ID",50,branch,BRANCH,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,223,223,116,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,92,WORD,"ID",50,strand,STRAND,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,224,224,91,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,155,WORD,UN,33,cradle,LIZARD,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,225,225,154,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,13,WORD,"ID",33,strive,STRIVE,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,226,226,12,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,164,WORD,UN,33,invest,MARKET,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,227,227,163,1,,
