counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,instr_done_keyboard.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,162,WORD,"ID",16,candle,CANDLE,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,100,100,101,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,275,NW,UN,16,yarmon,SLEIRT,z,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,101,101,454,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,426,NW,UN,33,schind,URIVEL,z,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,102,102,365,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,259,NW,UN,16,unject,SOUDAL,z,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,103,103,438,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,234,WORD,UN,33,poster,CLUMSY,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,104,104,173,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,10,WORD,UN,16,cruise,ETHNIC,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,105,105,189,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,451,NW,UN,33,surden,CAINKY,z,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,106,106,390,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,132,WORD,"ID",16,strong,STRONG,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,107,107,71,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,50,WORD,UN,16,hungry,SNATCH,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,108,108,229,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,3,WORD,UN,16,trench,KNIGHT,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,109,109,182,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,274,NW,UN,16,sleirt,FUMBLO,z,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,110,110,453,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,110,WORD,"ID",33,polite,POLITE,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,111,111,49,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,71,WORD,"ID",33,garden,GARDEN,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,112,112,10,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,125,WORD,"ID",16,nickel,NICKEL,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,113,113,64,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,282,NW,UN,16,veralf,PORLEX,z,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,114,114,461,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,146,WORD,"ID",16,couple,COUPLE,m,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,115,115,85,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.105,-1,,,,,,277,NW,UN,16,unighs,PETAIN,z,,,,,,,,-3.587458746,-0.48679868,0,0,0,,0,116,116,456,1
