counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,instr_done_keyboard.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
3,,0.00330033,-0.400990099,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.00330033,-0.400990099,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.00330033,-0.400990099,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.00330033,-0.400990099,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.293729373,-0.321782178,1,0,0,0.28,button_right,0.28,0,0,0,0,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.343,1,0,1,1,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.343,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.138,0,0,2,2,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,0.138,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.083,1,0,3,3,8,1,1009,NW,"ID",33,aslert,ASLERT,z,0.083,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.042,1,0,4,4,10,1,1011,NW,"ID",16,inlade,INLADE,z,0.042,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.073,1,0,5,5,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,0.073,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.031,0,0,6,6,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.031,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.011,1,0,7,7,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.011,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.027,1,0,8,8,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.027,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.006,1,0,9,9,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.006,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.028,0,0,10,10,12,1,1013,NW,UN,33,adveil,SPRINY,z,0.028,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.103,1,0,11,11,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.103,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.139,1,0,12,12,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,0.139,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.016,1,0,13,13,9,1,1010,NW,"ID",33,fariny,FARINY,z,0.016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.119,1,0,14,14,15,1,1016,NW,UN,16,mushed,WHAISE,z,0.119,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.015,0,0,15,15,11,1,1012,NW,"ID",16,rashet,RASHET,z,0.015,,,,,,,,,,,,,,,,,
,space,0.293729373,-0.321782178,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0.528,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.276,1,,,,,,268,NW,UN,16,orchet,PACKES,z,0.276,,,,,,,0.293729373,-0.321782178,0,0,0,,0,0,0,447,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.263,0,,,,,,266,NW,UN,16,pasink,VARMIT,z,0.263,,,,,,,0.293729373,-0.321782178,0,0,0,,0,1,1,445,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.249,0,,,,,,344,NW,"ID",33,scrily,SCRILY,z,0.249,,,,,,,0.293729373,-0.321782178,0,0,0,,0,2,2,283,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.209,1,,,,,,15,WORD,UN,16,faucet,AMOUNT,m,0.209,,,,,,,0.293729373,-0.321782178,0,0,0,,0,3,3,194,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.217,1,,,,,,158,WORD,"ID",16,island,ISLAND,m,0.217,,,,,,,0.293729373,-0.321782178,0,0,0,,0,4,4,97,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.149,0,,,,,,392,NW,"ID",16,rouncy,ROUNCY,z,0.149,,,,,,,0.293729373,-0.321782178,0,0,0,,0,5,5,331,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.134,1,,,,,,144,WORD,"ID",16,sponge,SPONGE,m,0.134,,,,,,,0.293729373,-0.321782178,0,0,0,,0,6,6,83,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.133,1,,,,,,217,WORD,UN,33,shrink,LIQUOR,m,0.133,,,,,,,0.293729373,-0.321782178,0,0,0,,0,7,7,156,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.166,0,,,,,,255,NW,UN,16,inlors,APIGHT,z,0.166,,,,,,,0.293729373,-0.321782178,0,0,0,,0,8,8,434,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.093,1,,,,,,240,WORD,UN,33,seldom,FOREST,m,0.093,,,,,,,0.293729373,-0.321782178,0,0,0,,0,9,9,179,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.186,1,,,,,,25,WORD,UN,16,sprint,DOMAIN,m,0.186,,,,,,,0.293729373,-0.321782178,0,0,0,,0,10,10,204,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.107,0,,,,,,302,NW,"ID",33,miluer,MILUER,z,0.107,,,,,,,0.293729373,-0.321782178,0,0,0,,0,11,11,241,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.148,0,,,,,,331,NW,"ID",33,gilfew,GILFEW,z,0.148,,,,,,,0.293729373,-0.321782178,0,0,0,,0,12,12,270,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.135,0,,,,,,252,NW,UN,16,resait,STAPOD,z,0.135,,,,,,,0.293729373,-0.321782178,0,0,0,,0,13,13,431,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.107,0,,,,,,357,NW,"ID",33,derain,DERAIN,z,0.107,,,,,,,0.293729373,-0.321782178,0,0,0,,0,14,14,296,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.171,0,,,,,,330,NW,"ID",33,kensom,KENSOM,z,0.171,,,,,,,0.293729373,-0.321782178,0,0,0,,0,15,15,269,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.3,1,,,,,,40,WORD,UN,16,spring,CONVEY,m,0.3,,,,,,,0.293729373,-0.321782178,0,0,0,,0,16,16,219,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.277,1,,,,,,176,WORD,"ID",16,strife,STRIFE,m,0.277,,,,,,,0.293729373,-0.321782178,0,0,0,,0,17,17,115,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.007,0,,,,,,438,NW,UN,33,limpor,BAITCH,z,0.007,,,,,,,0.293729373,-0.321782178,0,0,0,,0,18,18,377,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.175,1,,,,,,102,WORD,"ID",33,direct,DIRECT,m,0.175,,,,,,,0.293729373,-0.321782178,0,0,0,,0,19,19,41,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.204,0,,,,,,335,NW,"ID",33,desion,DESION,z,0.204,,,,,,,0.293729373,-0.321782178,0,0,0,,0,20,20,274,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.251,1,,,,,,57,WORD,UN,16,danger,CHANGE,m,0.251,,,,,,,0.293729373,-0.321782178,0,0,0,,0,21,21,236,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.206,1,,,,,,191,WORD,UN,33,beacon,STABLE,m,0.206,,,,,,,0.293729373,-0.321782178,0,0,0,,0,22,22,130,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.24,0,,,,,,365,NW,"ID",16,guairt,GUAIRT,z,0.24,,,,,,,0.293729373,-0.321782178,0,0,0,,0,23,23,304,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.232,1,,,,,,136,WORD,"ID",16,bleach,BLEACH,m,0.232,,,,,,,0.293729373,-0.321782178,0,0,0,,0,24,24,75,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.231,0,,,,,,244,NW,UN,16,anougs,EATRIC,z,0.231,,,,,,,0.293729373,-0.321782178,0,0,0,,0,25,25,423,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.221,0,,,,,,390,NW,"ID",16,hatrus,HATRUS,z,0.221,,,,,,,0.293729373,-0.321782178,0,0,0,,0,26,26,329,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.193,1,,,,,,205,WORD,UN,33,tailor,LOUNGE,m,0.193,,,,,,,0.293729373,-0.321782178,0,0,0,,0,27,27,144,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.169,1,,,,,,180,WORD,"ID",16,silent,SILENT,m,0.169,,,,,,,0.293729373,-0.321782178,0,0,0,,0,28,28,119,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.15,1,,,,,,227,WORD,UN,33,master,SELDOM,m,0.15,,,,,,,0.293729373,-0.321782178,0,0,0,,0,29,29,166,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.106,0,,,,,,457,NW,UN,33,barcet,WANIGH,z,0.106,,,,,,,0.293729373,-0.321782178,0,0,0,,0,30,30,396,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.167,0,,,,,,326,NW,"ID",33,iguade,IGUADE,z,0.167,,,,,,,0.293729373,-0.321782178,0,0,0,,0,31,31,265,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.148,1,,,,,,124,WORD,"ID",16,blouse,BLOUSE,m,0.148,,,,,,,0.293729373,-0.321782178,0,0,0,,0,32,32,63,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.121,1,,,,,,91,WORD,"ID",33,expand,EXPAND,m,0.121,,,,,,,0.293729373,-0.321782178,0,0,0,,0,33,33,30,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.199,0,,,,,,306,NW,"ID",33,sounge,SOUNGE,z,0.199,,,,,,,0.293729373,-0.321782178,0,0,0,,0,34,34,245,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.171,1,,,,,,221,WORD,UN,33,hinder,MASCOT,m,0.171,,,,,,,0.293729373,-0.321782178,0,0,0,,0,35,35,160,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.166,1,,,,,,5,WORD,UN,16,bundle,PLUNGE,m,0.166,,,,,,,0.293729373,-0.321782178,0,0,0,,0,36,36,184,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.241,0,,,,,,293,NW,UN,16,inhort,SWANCE,z,0.241,,,,,,,0.293729373,-0.321782178,0,0,0,,0,37,37,472,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.294,0,,,,,,471,NW,UN,33,cigney,NOBEST,z,0.294,,,,,,,0.293729373,-0.321782178,0,0,0,,0,38,38,410,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.348,0,,,,,,429,NW,UN,33,caroey,FUNTLE,z,0.348,,,,,,,0.293729373,-0.321782178,0,0,0,,0,39,39,368,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.318,0,,,,,,373,NW,"ID",16,bigent,BIGENT,z,0.318,,,,,,,0.293729373,-0.321782178,0,0,0,,0,40,40,312,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.321,0,,,,,,376,NW,"ID",16,iguare,IGUARE,z,0.321,,,,,,,0.293729373,-0.321782178,0,0,0,,0,41,41,315,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.306,1,,,,,,137,WORD,"ID",16,finger,FINGER,m,0.306,,,,,,,0.293729373,-0.321782178,0,0,0,,0,42,42,76,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.292,1,,,,,,168,WORD,"ID",16,answer,ANSWER,m,0.292,,,,,,,0.293729373,-0.321782178,0,0,0,,0,43,43,107,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.839,0,,,,,,374,NW,"ID",16,sliant,SLIANT,z,0.839,,,,,,,0.293729373,-0.321782178,0,0,0,,0,44,44,313,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h46.26.946,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.233,1,,,,,,202,WORD,UN,33,phrase,FACTOR,m,0.233,,,,,,,0.293729373,-0.321782178,0,0,0,,0,45,45,141,1
