counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
1,space,10.495135,0.198148148,-0.225,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,7.389325,0.412037037,-0.037037037,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,3.30797,0.412037037,-0.037037037,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,1.78171,0.412037037,-0.037037037,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.000355,,,,,,,,1.000355,1,0,0,0,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.038675,,,,,,,,1.038675,1,0,1,1,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.789105,,,,,,,,0.789105,1,0,2,2,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.51531,,,,,,,,0.51531,1,0,3,3,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.553735,,,,,,,,0.553735,1,0,4,4,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dde843983e309dfeaf240e9,2020-11-25_11h40.27.651,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.680715,,,,,,,,0.680715,1,0,5,5,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,
