counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_touch.clicked_name
3,,0.07944333,-0.432542745,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.093854738,-0.414745146,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.123707003,-0.40523692,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.092310711,-0.431323672,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,0,,,,,,,,,-1,0,0,0,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,0,0.475242393,-0.312835916,1,0,0,0.8508,button_right,0.8508,1,0,1,1,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,0,0.497888954,-0.320637675,1,0,0,0.5833,button_right,0.5833,1,0,2,2,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,0,0.511785563,-0.309178917,1,0,0,0.5981,button_right,0.5981,1,0,3,3,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,0,0.498403605,-0.308447458,1,0,0,0.6166,button_right,0.6166,1,0,4,4,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f318ffff91fee0689bb3c5c,2020-11-27_15h04.22.200,lexical_decision_task_MP_exp2,2020.2.5,Linux armv8l,60,,0,0.485536298,-0.319906142,1,0,0,0.9192,button_right,0.9192,0,0,5,5,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,
